plant_id,date,type,text
PL001,2026-04-19,water,Innaffiatura: parziale
PL008,2026-04-19,water,Innaffiatura: parziale
PL005,2026-04-19,water,Innaffiatura: parziale
PL009,2026-04-19,water,Innaffiatura: parziale
PL012,2026-04-19,water,Innaffiatura: parziale
PL013,2026-04-19,water,Innaffiatura: parziale
PL014,2026-04-19,water,Innaffiatura: parziale
PL037,2026-04-19,water,Innaffiatura: parziale
PL025,2026-04-19,water,Innaffiatura: parziale
PL026,2026-04-19,water,Innaffiatura: parziale
PL027,2026-04-19,water,Innaffiatura: parziale
PL029,2026-04-19,water,Innaffiatura: parziale
PL030,2026-04-19,water,Innaffiatura: parziale
PL031,2026-04-19,water,Innaffiatura: parziale
PL028,2026-04-19,water,Innaffiatura: parziale
PL022,2026-04-19,water,Innaffiatura: parziale
PL021,2026-04-19,water,Innaffiatura: parziale
PL019,2026-04-19,water,Innaffiatura: parziale
PL038,2026-04-19,water,Innaffiatura: parziale
PL039,2026-04-19,water,Innaffiatura: parziale
PL040,2026-04-19,water,Innaffiatura: parziale
PL041,2026-04-19,water,Innaffiatura: parziale
PL042,2026-04-19,water,Innaffiatura: parziale
PL045,2026-04-19,water,Innaffiatura: parziale
PL047,2026-04-19,water,Innaffiatura: parziale
PL049,2026-04-19,water,Innaffiatura: parziale
PL054,2026-04-19,water,Innaffiatura: parziale
PL001,2026-04-25,water,Innaffiatura: parziale
PL008,2026-04-25,water,Innaffiatura: parziale
PL006,2026-04-25,water,Innaffiatura: parziale
PL007,2026-04-25,water,Innaffiatura: parziale
PL005,2026-04-25,water,Innaffiatura: parziale
PL009,2026-04-25,water,Innaffiatura: parziale
PL012,2026-04-25,water,Innaffiatura: parziale
PL013,2026-04-25,water,Innaffiatura: parziale
PL014,2026-04-25,water,Innaffiatura: parziale
PL037,2026-04-25,water,Innaffiatura: parziale
PL038,2026-04-25,water,Innaffiatura: parziale
PL019,2026-04-25,water,Innaffiatura: parziale
PL021,2026-04-25,water,Innaffiatura: parziale
PL022,2026-04-25,water,Innaffiatura: parziale
PL024,2026-04-25,water,Innaffiatura: parziale
PL025,2026-04-25,water,Innaffiatura: parziale
PL026,2026-04-25,water,Innaffiatura: parziale
PL027,2026-04-25,water,Innaffiatura: parziale
PL028,2026-04-25,water,Innaffiatura: parziale
PL029,2026-04-25,water,Innaffiatura: parziale
PL030,2026-04-25,water,Innaffiatura: parziale
PL031,2026-04-25,water,Innaffiatura: parziale
PL033,2026-04-25,water,Innaffiatura: parziale
PL034,2026-04-25,water,Innaffiatura: parziale
PL040,2026-04-25,water,Innaffiatura: parziale
PL041,2026-04-25,water,Innaffiatura: parziale
PL042,2026-04-25,water,Innaffiatura: parziale
PL044,2026-04-25,water,Innaffiatura: parziale
PL045,2026-04-26,water,Innaffiatura: completa
PL047,2026-04-26,water,Innaffiatura: completa
PL048,2026-04-26,water,Innaffiatura: completa
PL049,2026-04-26,water,Innaffiatura: completa
PL053,2026-04-26,water,Innaffiatura: completa
PL054,2026-04-26,water,Innaffiatura: completa
PL044,2026-04-04,trattamento,Potatura parti morte
PL033,2026-04-06,trattamento,Pulizia foglie per rimozione cocciniglia scudetto (sanium)
PL003,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL009,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL012,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL013,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL014,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL015,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL016,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL019,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL020,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL022,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL028,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL029,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL030,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL032,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL033,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL034,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL037,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
PL038,2026-04-06,fertilizzazione,Innaffiato con fertilizzante (fito concime piante verdi)
